Age,Period,Value,Status,Units,Magnitude,Series_title_1,Sex
55-59,2020.02,102285,P,Number ,0,Actual ,Female
55-59,2020.03,103028,P,Number ,0,Actual ,Female
55-59,2020.04,101786,P,Number ,0,Actual ,Female
55-59,2020.05,102236,P,Number ,0,Actual ,Female
55-59,2020.06,102438,P,Number ,0,Actual ,Female
55-59,2020.07,101658,P,Number ,0,Actual ,Female
55-59,2020.08,102278,P,Number ,0,Actual ,Female
55-59,2019.05,91366,P,Number ,0,Actual ,Male
55-59,2019.06,91538,P,Number ,0,Actual ,Male
55-59,2019.07,91839,P,Number ,0,Actual ,Male
55-59,2019.08,91944,P,Number ,0,Actual ,Male
55-59,2019.09,92447,P,Number ,0,Actual ,Male
55-59,2019.1,92755,P,Number ,0,Actual ,Male
55-59,2019.11,93429,P,Number ,0,Actual ,Male
55-59,2019.12,93369,P,Number ,0,Actual ,Male
55-59,2020.01,92963,P,Number ,0,Actual ,Male
55-59,2020.02,92730,P,Number ,0,Actual ,Male
55-59,2020.03,93482,P,Number ,0,Actual ,Male
55-59,2020.04,93116,P,Number ,0,Actual ,Male
55-59,2020.05,93603,P,Number ,0,Actual ,Male
55-59,2020.06,93455,P,Number ,0,Actual ,Male
55-59,2020.07,93015,P,Number ,0,Actual ,Male
55-59,2020.08,93366,P,Number ,0,Actual ,Male
60-64,2019.05,79980,P,Number ,0,Actual ,Female
60-64,2019.06,73070,P,Number ,0,Actual ,Female
60-64,2019.07,73252,P,Number ,0,Actual ,Female
60-64,2019.08,73659,P,Number ,0,Actual ,Female
60-64,2019.09,74187,P,Number ,0,Actual ,Female
60-64,2019.1,74479,P,Number ,0,Actual ,Female
60-64,2019.11,75387,P,Number ,0,Actual ,Female
60-64,2019.12,75614,P,Number ,0,Actual ,Female
60-64,2020.01,73975,P,Number ,0,Actual ,Female
60-64,2020.02,75126,P,Number ,0,Actual ,Female
60-64,2020.03,76035,P,Number ,0,Actual ,Female
60-64,2020.04,75333,P,Number ,0,Actual ,Female
60-64,2020.05,75771,P,Number ,0,Actual ,Female
60-64,2020.06,76120,P,Number ,0,Actual ,Female
60-64,2020.07,75743,P,Number ,0,Actual ,Female
60-64,2020.08,76516,P,Number ,0,Actual ,Female
60-64,2019.05,68163,P,Number ,0,Actual ,Male
60-64,2019.06,68258,P,Number ,0,Actual ,Male
60-64,2019.07,68619,P,Number ,0,Actual ,Male
60-64,2019.08,68805,P,Number ,0,Actual ,Male
60-64,2019.09,69464,P,Number ,0,Actual ,Male
60-64,2019.1,69865,P,Number ,0,Actual ,Male
60-64,2019.11,70661,P,Number ,0,Actual ,Male
60-64,2019.12,71079,P,Number ,0,Actual ,Male
60-64,2020.01,70604,P,Number ,0,Actual ,Male
60-64,2020.02,70762,P,Number ,0,Actual ,Male
60-64,2020.03,71732,P,Number ,0,Actual ,Male
60-64,2020.04,71636,P,Number ,0,Actual ,Male
60-64,2020.05,72284,P,Number ,0,Actual ,Male
60-64,2020.06,72072,P,Number ,0,Actual ,Male
60-64,2020.07,71778,P,Number ,0,Actual ,Male
60-64,2020.08,72121,P,Number ,0,Actual ,Male
65 +,2019.05,48640,P,Number ,0,Actual ,Female
65 +,2019.06,49319,P,Number ,0,Actual ,Female
65 +,2019.07,49159,P,Number ,0,Actual ,Female
65 +,2019.08,49430,P,Number ,0,Actual ,Female
65 +,2019.09,50584,P,Number ,0,Actual ,Female
65 +,2019.1,50477,P,Number ,0,Actual ,Female
65 +,2019.11,51971,P,Number ,0,Actual ,Female
65 +,2019.12,52923,P,Number ,0,Actual ,Female
65 +,2020.01,48253,P,Number ,0,Actual ,Female
65 +,2020.02,50456,P,Number ,0,Actual ,Female
65 +,2020.03,51484,P,Number ,0,Actual ,Female
65 +,2020.04,49702,P,Number ,0,Actual ,Female
65 +,2020.05,50171,P,Number ,0,Actual ,Female
65 +,2020.06,50529,P,Number ,0,Actual ,Female
65 +,2020.07,49903,P,Number ,0,Actual ,Female
65 +,2020.08,50964,P,Number ,0,Actual ,Female
65 +,2019.05,54015,P,Number ,0,Actual ,Male
65 +,2019.06,53953,P,Number ,0,Actual ,Male
65 +,2019.07,53678,P,Number ,0,Actual ,Male
65 +,2019.08,54018,P,Number ,0,Actual ,Male
65 +,2019.09,54978,P,Number ,0,Actual ,Male
65 +,2019.1,55310,P,Number ,0,Actual ,Male
65 +,2019.11,56815,P,Number ,0,Actual ,Male
65 +,2019.12,56916,P,Number ,0,Actual ,Male
65 +,2020.01,54029,P,Number ,0,Actual ,Male
65 +,2020.02,55741,P,Number ,0,Actual ,Male
65 +,2020.03,56946,P,Number ,0,Actual ,Male
65 +,2020.04,54740,P,Number ,0,Actual ,Male
65 +,2020.05,56029,P,Number ,0,Actual ,Male
65 +,2020.06,55926,P,Number ,0,Actual ,Male
65 +,2020.07,54701,P,Number ,0,Actual ,Male
